OTU_ID,1A1_ACR-173_TP1,1A2_ACR-244_TP4,1A8_ACR-186_TP2,1A10_ACR-145_TP4,1A12_ACR-237_TP3,2A1_ACR-145_TP1,2A2_ACR-255_TP2,2C3_ACR-57_TP1,2G2_ACR-57_TP4,3B1_ACR-201_TP1,3B2_ACR-201_TP2,3B3_ACR-201_TP3,3B4_ACR-201_TP4
OTU_0001,123,145,167,189,156,134,178,201,145,167,189,156,178
OTU_0002,167,189,134,156,201,189,145,167,189,123,156,189,145
OTU_0003,189,123,156,167,134,156,189,123,167,189,134,145,167
OTU_0004,145,167,189,123,156,167,134,189,123,145,167,189,134
OTU_0005,156,134,123,145,189,123,167,156,134,156,123,167,189
OTU_0006,134,156,145,167,123,145,189,134,156,134,145,123,156
OTU_0007,189,123,167,134,145,167,123,189,134,189,167,134,123
OTU_0008,123,189,134,156,167,134,156,123,189,123,134,156,167
OTU_0009,167,134,189,123,145,189,134,167,123,167,189,123,134
OTU_0010,134,167,123,189,156,123,145,134,167,134,123,189,145
